date,feature,sentiment,count
14-Feb-2015,quality,Neutral,6
14-Apr-2015,quality,Neutral,6
05-Feb-2015,support,negative,0
12-Aug-2015,packaging,Neutral,7
29-Apr-2015,packaging,positive,7
06-Sep-2015,packaging,positive,7
08-Apr-2015,quality,negative,3
25-Sep-2015,delivery_and_return,positive,2
27-Jul-2015,delivery_and_return,Neutral,7
30-Jun-2015,support,Neutral,0
07-Jun-2015,support,positive,4
12-Feb-2015,support,Neutral,2
18-Jan-2015,comparatively,negative,9
07-May-2015,support,positive,5
01-Jun-2015,quality,negative,0
14-Oct-2015,delivery_and_return,negative,1
06-Jul-2015,support,Neutral,7
23-Oct-2015,support,negative,10
18-Dec-2015,quality,negative,9
01-May-2015,support,positive,6
08-Apr-2015,support,positive,0
04-Jan-2015,delivery_and_return,Neutral,6
25-Jan-2015,support,Neutral,2
23-Apr-2015,packaging,positive,2
06-Mar-2015,support,Neutral,5
01-Jun-2015,support,positive,1
18-May-2015,quality,negative,6
23-May-2015,support,positive,10
16-Apr-2015,support,positive,4
11-Sep-2015,support,negative,0
22-Apr-2015,packaging,Neutral,1
16-Jul-2015,quality,negative,2
28-May-2015,quality,negative,9
20-Jan-2015,delivery_and_return,Neutral,8
08-Dec-2015,quality,negative,2
10-Jan-2015,support,Neutral,3
27-Aug-2015,support,positive,0
07-May-2015,comparatively,Neutral,8
16-Mar-2015,support,positive,4
07-Oct-2015,quality,positive,7
10-Apr-2015,comparatively,negative,4
03-Oct-2015,comparatively,negative,8
19-Mar-2015,comparatively,negative,4
11-Apr-2015,comparatively,negative,3
22-Nov-2015,delivery_and_return,Neutral,0
01-Apr-2015,quality,Neutral,3
22-Apr-2015,support,negative,5
19-Jun-2015,delivery_and_return,Neutral,5
22-Sep-2015,quality,positive,10
18-Jul-2015,delivery_and_return,Neutral,6
18-Mar-2015,comparatively,positive,7
07-Feb-2015,packaging,negative,1
22-Mar-2015,delivery_and_return,negative,0
26-Mar-2015,support,Neutral,1
12-Jan-2015,support,Neutral,5
05-Mar-2015,packaging,Neutral,6
08-Feb-2015,support,positive,10
12-Apr-2015,delivery_and_return,negative,2
09-May-2015,delivery_and_return,negative,10
22-Jul-2015,quality,Neutral,6
04-May-2015,packaging,negative,0
13-Apr-2015,support,positive,8
02-Apr-2015,support,positive,3
25-Sep-2015,support,negative,1
11-Jan-2015,support,Neutral,3
15-May-2015,quality,positive,2
09-Mar-2015,delivery_and_return,positive,1
30-Apr-2015,comparatively,Neutral,10
15-Feb-2015,packaging,negative,2
06-Jul-2015,quality,positive,5
08-Nov-2015,comparatively,Neutral,4
21-Jan-2015,comparatively,Neutral,1
11-Jun-2015,delivery_and_return,Neutral,4
19-Feb-2015,delivery_and_return,positive,2
28-Dec-2015,support,Neutral,8
03-Jun-2015,packaging,positive,4
04-Jun-2015,support,positive,2
28-Mar-2015,quality,Neutral,1
05-May-2015,comparatively,Neutral,3
08-Aug-2015,support,positive,5
09-Sep-2015,support,positive,6
08-Jul-2015,delivery_and_return,positive,8
21-Jul-2015,packaging,negative,1
26-Aug-2015,packaging,positive,0
02-Apr-2015,support,Neutral,5
08-May-2015,quality,positive,3
28-Jan-2015,delivery_and_return,positive,3
18-Mar-2015,packaging,negative,3
29-Jul-2015,comparatively,negative,2
25-Dec-2015,packaging,negative,7
17-Aug-2015,packaging,positive,3
22-Dec-2015,support,Neutral,7
02-May-2015,support,Neutral,5
02-Aug-2015,quality,negative,7
07-Sep-2015,support,positive,5
05-Dec-2015,quality,Neutral,1
04-Aug-2015,support,positive,6
28-Nov-2015,comparatively,negative,4
08-Jun-2015,quality,negative,9
31-Aug-2015,packaging,Neutral,9
23-Mar-2015,support,positive,0
22-Feb-2015,delivery_and_return,positive,1
19-Nov-2015,support,negative,2
12-Aug-2015,comparatively,Neutral,0
28-Dec-2015,delivery_and_return,Neutral,6
02-Jan-2015,packaging,positive,4
07-Oct-2015,packaging,positive,10
31-Mar-2015,comparatively,positive,5
28-Mar-2015,support,positive,8
23-Jul-2015,quality,positive,0
13-Jul-2015,packaging,negative,8
01-Oct-2015,packaging,positive,3
25-Oct-2015,support,negative,0
11-Apr-2015,delivery_and_return,negative,7
08-Jul-2015,delivery_and_return,negative,1
19-Apr-2015,delivery_and_return,Neutral,5
29-May-2015,comparatively,Neutral,7
09-Apr-2015,comparatively,Neutral,8
01-Aug-2015,quality,positive,9
26-Jun-2015,comparatively,positive,4
11-Jul-2015,comparatively,negative,5
03-Feb-2015,support,positive,9
05-Mar-2015,quality,positive,6
31-Oct-2015,delivery_and_return,Neutral,8
01-Aug-2015,quality,Neutral,1
11-Feb-2015,comparatively,Neutral,0
02-Nov-2015,quality,negative,7
16-Nov-2015,support,negative,7
12-May-2015,quality,Neutral,6
15-Jun-2015,support,negative,4
24-Jul-2015,support,positive,4
11-May-2015,packaging,positive,9
18-Dec-2015,quality,negative,3
16-Feb-2015,support,positive,8
14-Dec-2015,quality,negative,10
19-Nov-2015,comparatively,positive,2
17-Apr-2015,delivery_and_return,Neutral,0
07-Jan-2015,comparatively,positive,1
06-Nov-2015,quality,negative,6
07-Nov-2015,comparatively,Neutral,8
24-Jun-2015,support,positive,9
26-Mar-2015,support,Neutral,5
15-Jul-2015,comparatively,negative,4
02-Dec-2015,quality,Neutral,0
16-Dec-2015,delivery_and_return,positive,1
19-Nov-2015,quality,positive,7
26-Aug-2015,quality,Neutral,2
29-Nov-2015,support,negative,10
24-Mar-2015,quality,negative,8
20-Apr-2015,packaging,Neutral,8
25-May-2015,packaging,positive,0
18-Dec-2015,packaging,positive,7
15-Aug-2015,packaging,positive,6
12-May-2015,support,positive,10
22-Mar-2015,quality,positive,0
25-Sep-2015,support,negative,6
01-Feb-2015,delivery_and_return,Neutral,6
23-Oct-2015,comparatively,Neutral,4
09-Jan-2015,delivery_and_return,positive,7
04-May-2015,comparatively,positive,4
03-Sep-2015,delivery_and_return,Neutral,10
11-Jul-2015,comparatively,negative,7
21-Dec-2015,delivery_and_return,positive,1
30-Mar-2015,packaging,positive,2
20-Jun-2015,comparatively,negative,5
16-Oct-2015,comparatively,positive,8
12-Nov-2015,support,positive,9
17-Oct-2015,support,Neutral,4
25-Jul-2015,quality,positive,9
19-Apr-2015,delivery_and_return,Neutral,9
28-Apr-2015,comparatively,negative,10
20-May-2015,quality,positive,5
11-Dec-2015,packaging,positive,1
20-Apr-2015,comparatively,positive,7
31-Jan-2015,support,positive,7
20-Mar-2015,delivery_and_return,negative,0
14-Sep-2015,quality,Neutral,10
28-Aug-2015,packaging,positive,5
16-Nov-2015,packaging,Neutral,4
01-Mar-2015,quality,negative,6
24-Feb-2015,quality,positive,4
06-Jan-2015,support,Neutral,10
25-May-2015,delivery_and_return,positive,5
13-Jun-2015,support,Neutral,1
17-Apr-2015,support,negative,0
16-Jun-2015,comparatively,positive,3
06-Feb-2015,comparatively,positive,3
06-Jun-2015,support,Neutral,5
21-Feb-2015,packaging,negative,4
20-Jul-2015,packaging,Neutral,4
03-Sep-2015,support,Neutral,5
27-Feb-2015,support,negative,7
08-Mar-2015,comparatively,positive,2
28-Nov-2015,support,negative,3
12-Oct-2015,quality,Neutral,1
23-Aug-2015,packaging,negative,5
02-Jun-2015,support,negative,7
28-May-2015,delivery_and_return,Neutral,0
24-Nov-2015,delivery_and_return,positive,8
24-Dec-2015,support,Neutral,7
30-Sep-2015,delivery_and_return,negative,0
09-Nov-2015,delivery_and_return,negative,10
05-Sep-2015,packaging,negative,6
02-Mar-2015,comparatively,positive,4
22-Mar-2015,support,Neutral,1
29-Oct-2015,comparatively,positive,6
16-Apr-2015,packaging,negative,7
16-Jun-2015,packaging,positive,3
27-Feb-2015,quality,negative,1
30-Nov-2015,support,Neutral,0
11-May-2015,support,negative,7
19-Jan-2015,support,Neutral,4
02-Aug-2015,delivery_and_return,negative,4
18-Feb-2015,comparatively,Neutral,1
28-Jun-2015,packaging,negative,0
02-Oct-2015,support,positive,6
08-Sep-2015,quality,positive,3
08-Sep-2015,quality,negative,6
31-Mar-2015,packaging,Neutral,8
31-Jan-2015,quality,Neutral,1
24-Feb-2015,support,Neutral,5
09-Feb-2015,packaging,positive,4
21-Jul-2015,support,negative,10
30-Dec-2015,support,positive,4
16-Nov-2015,comparatively,negative,10
03-Feb-2015,packaging,positive,0
04-Nov-2015,quality,Neutral,10
28-Jun-2015,packaging,Neutral,7
16-Sep-2015,packaging,negative,6
11-May-2015,comparatively,negative,3
22-Dec-2015,quality,negative,4
10-Feb-2015,quality,Neutral,2
27-Jan-2015,packaging,Neutral,4
26-May-2015,packaging,negative,7
26-Jan-2015,comparatively,negative,5
10-Apr-2015,support,Neutral,9
19-Apr-2015,packaging,negative,2
